DateTime,Temp 1,Temp 2,Temp 3,Temp_ambient 1,Temp_ambient 2,Humetat 1,Humetat 2,lux,PH
11/4/2018 20:21:0,"26,81","29,06","26,31","26,4","27,2",34,32,0,"7,23"
11/4/2018 20:36:9,"25,87",29,"26,37","25,5","30,2","35,4","30,9",2232,"7,22"
11/4/2018 20:51:18,"25,12",29,"26,37",25,"32,4","36,2","28,3",469,"7,23"
11/4/2018 21:6:27,"24,5","28,94","26,37","24,4","32,8","36,9","27,3",19,"7,22"
11/4/2018 21:21:36,24,"28,87","26,37","23,9","32,8",37,"26,6",0,"7,21"
11/4/2018 21:36:45,"23,56","28,81","26,44","23,7","32,6","36,3","26,3",0,"7,23"
11/4/2018 21:51:54,"23,12","28,75","26,44","23,5","32,3","34,1","25,5",0,"7,22"
11/4/2018 22:7:3,"22,81","28,69","26,44",23,"31,9","35,4","25,5",0,"7,22"
11/4/2018 22:22:12,"22,5","28,62","26,44","22,7","31,6","36,7","25,5",0,"7,22"
11/4/2018 22:37:21,"22,19","28,56","26,44","22,4","31,3","37,6","25,5",0,"7,22"
11/4/2018 22:52:31,"21,81","28,5","26,5",22,31,38,"25,5",0,"7,22"
11/4/2018 23:7:40,"21,44","28,37","26,5","21,6","30,8","39,1","25,6",0,"7,22"
11/4/2018 23:22:49,"21,12","28,31","26,5","21,3","30,6","39,5","25,5",0,"7,23"
11/4/2018 23:37:58,"20,75","28,19","26,5","20,8","30,2","41,5","25,8",0,"7,22"
11/4/2018 23:53:7,"20,31","28,12","26,5","20,2","29,9","44,5",26,0,"7,22"
12/4/2018 0:8:16,"19,94",28,"26,5","19,7","29,6","46,4","26,3",0,"7,22"
12/4/2018 0:23:25,"19,44","27,94","26,56","19,2","29,4","48,1","26,6",0,"7,23"
12/4/2018 0:38:34,"19,06","27,81","26,56","18,7","29,2","49,7","26,7",0,"7,22"
12/4/2018 0:53:43,"18,69","27,69","26,56","18,3","28,8","50,7","26,8",0,"7,23"
12/4/2018 1:8:52,"18,37","27,62","26,56","17,9","28,5","52,7","27,1",0,"7,23"
12/4/2018 1:24:1,18,"27,5","26,56","17,5","28,2","54,1","27,4",0,"7,23"
12/4/2018 1:39:10,"17,62","27,37","26,56","17,2","27,8","54,8","27,8",0,"7,22"
12/4/2018 1:54:19,"17,31","27,25","26,56","16,8","27,6",55,"27,7",0,"7,22"
12/4/2018 2:9:28,"16,94","27,19","26,62","16,5","27,3","55,2","27,7",0,"7,22"
12/4/2018 2:24:37,"16,56","27,06","26,56","16,1","27,2","55,6","27,6",0,"7,22"
12/4/2018 2:39:46,"16,25","26,94","26,62","15,8","27,1","55,1","27,3",0,"7,22"
12/4/2018 2:54:55,16,"26,81","26,62","15,6","26,8","54,3","27,2",0,"7,23"
12/4/2018 3:10:4,"15,69","26,69","26,56","15,3","26,4","54,1","27,2",0,"7,23"
12/4/2018 3:25:12,"15,44","26,56","26,56","15,2","26,3",54,"27,3",0,"7,23"
12/4/2018 3:40:21,"15,25","26,44","26,56",15,"26,1","53,8","27,3",0,"7,23"
12/4/2018 3:55:30,"15,06","26,31","26,56","14,8","25,5","53,4","27,4",0,"7,24"
12/4/2018 4:10:39,"14,81","26,19","26,56","14,6","25,1","53,2","27,7",0,"7,24"
12/4/2018 4:25:48,"14,56","26,06","26,56","14,3","24,8","53,3","27,6",0,"7,24"
12/4/2018 4:40:57,"14,31",26,"26,56",14,"24,8",53,"27,5",0,"7,25"
12/4/2018 4:56:6,"14,06","25,87","26,5","13,8","24,6",54,"27,5",0,"7,24"
12/4/2018 5:11:15,"13,75","25,75","26,5","13,4","24,6","54,7","27,5",0,"7,24"
12/4/2018 5:26:24,"13,56","25,62","26,5","13,2","24,7","55,6","27,3",0,"7,24"
12/4/2018 5:41:33,"13,38","25,5","26,5","12,9","24,6",56,"27,3",0,"7,25"
12/4/2018 5:56:42,"13,13","25,37","26,44","12,9","24,5","55,4","27,2",0,"7,25"
12/4/2018 6:11:51,"13,06","25,25","26,44","12,8","24,5","55,2","27,1",0,"7,26"
